bea_code,bea_desc,windc_code,category
111CA,Farms,agr,goods
113FF,"Forestry, fishing, and related activities",fof,goods
211,Oil and gas extraction,oil,goods
212,"Mining, except oil and gas",min,goods
213,Support activities for mining,smn,goods
22,Utilities,uti,goods
23,Construction,con,goods
321,Wood products,wpd,goods
327,Nonmetallic mineral products,nmp,goods
331,Primary metals,pmt,goods
332,Fabricated metal products,fmt,goods
333,Machinery,mch,goods
334,Computer and electronic products,cep,goods
335,"Electrical equipment, appliances, and components",eec,goods
3361MV,"Motor vehicles, bodies and trailers, and parts",mot,goods
3364OT,Other transportation equipment,ote,goods
337,Furniture and related products,fpd,goods
339,Miscellaneous manufacturing,mmf,goods
311FT,Food and beverage and tobacco products,fbp,goods
313TT,Textile mills and textile product mills,tex,goods
315AL,Apparel and leather and allied products,alt,goods
322,Paper products,ppd,goods
323,Printing and related support activities,pri,goods
324,Petroleum and coal products,pet,goods
325,Chemical products,che,goods
326,Plastics and rubber products,pla,goods
42,Wholesale trade,wht,goods
441,Motor vehicle and parts dealers,mvt,goods
445,Food and beverage stores,fbt,goods
452,General merchandise stores,gmt,goods
4A0,Other retail,ott,goods
481,Air transportation,air,goods
482,Rail transportation,trn,goods
483,Water transportation,wtt,goods
484,Truck transportation,trk,goods
485,Transit and ground passenger transportation,grd,goods
486,Pipeline transportation,pip,goods
487OS,Other transportation and support activities,otr,goods
493,Warehousing and storage,wrh,goods
511,"Publishing industries, except internet (includes software)",pub,goods
512,Motion picture and sound recording industries,mov,goods
513,Broadcasting and telecommunications,brd,goods
514,"Data processing, internet publishing, and other information services",dat,goods
521CI,"Federal Reserve banks, credit intermediation, and related activities",bnk,goods
523,"Securities, commodity contracts, and investments",sec,goods
524,Insurance carriers and related activities,ins,goods
525,"Funds, trusts, and other financial vehicles",fin,goods
HS,Housing,hou,goods
ORE,Other real estate,ore,goods
532RL,Rental and leasing services and lessors of intangible assets,rnt,goods
5411,Legal services,leg,goods
5415,Computer systems design and related services,com,goods
5412OP,"Miscellaneous professional, scientific, and technical services",tsv,goods
55,Management of companies and enterprises,man,goods
561,Administrative and support services,adm,goods
562,Waste management and remediation services,wst,goods
61,Educational services,edu,goods
621,Ambulatory health care services,amb,goods
622,Hospitals,hos,goods
623,Nursing and residential care facilities,nrs,goods
624,Social assistance,soc,goods
711AS,"Performing arts, spectator sports, museums, and related activities",art,goods
713,"Amusements, gambling, and recreation industries",rec,goods
721,Accommodation,amd,goods
722,Food services and drinking places,res,goods
81,"Other services, except government",osv,goods
GFGD,Federal general government (defense),fdd,goods
GFGN,Federal general government (nondefense),fnd,goods
GFE,Federal government enterprises,fen,goods
GSLG,State and local general government,slg,goods
GSLE,State and local government enterprises,sle,goods
Other,Noncomparable imports and rest-of-the-world adjustment,oth,goods
Used,"Scrap, used and secondhand goods",use,goods
T005,Total Intermediate,interm,
V001,Compensation of employees,compen,valueadded
V003,Gross operating surplus,surplus,valueadded
T00OTOP,Other taxes on production,othtax,valueadded
VABAS,Value Added (basic prices),basicvalueadded,
T018,Total industry output (basic prices),industryoutput,
T00TOP,Taxes on products and imports,taxes,taxessubsidies
T00SUB,Less: Subsidies,subsidies,taxessubsidies
VAPRO,Value Added (producer prices),valueadded,
T001,Total Intermediate,totint,
F010,Personal consumption expenditures,pce,finaldemand
F02E,Nonresidential private fixed investment in equipment,equipment,finaldemand
F02N,Nonresidential private fixed investment in intellectual property products,intelprop,finaldemand
F02R,Residential private fixed investment,residential,finaldemand
F02S,Nonresidential private fixed investment in structures,structures,finaldemand
F030,Change in private inventories,changinv,finaldemand
F040,Exports of goods and services,exports,
F06C,National defense: Consumption expenditures,defense,finaldemand
F06E,Federal national defense: Gross investment in equipment,def_equipment,finaldemand
F06N,Federal national defense: Gross investment in intellectual property products,def_intelprop,finaldemand
F06S,Federal national defense: Gross investment in structures,def_structures,finaldemand
F07C,Nondefense: Consumption expenditures,nondefense,finaldemand
F07E,Federal nondefense: Gross investment in equipment,fed_equipment,finaldemand
F07N,Federal nondefense: Gross investment in intellectual property products,fed_intelprop,finaldemand
F07S,Federal nondefense: Gross investment in structures,fed_structures,finaldemand
F10C,State and local government consumption expenditures,state_consume,finaldemand
F10E,State and local: Gross investment in equipment,state_equipment,finaldemand
F10N,State and local: Gross investment in intellectual property products,state_intelprop,finaldemand
F10S,State and local: Gross investment in structures,state_invest,finaldemand
T019,Total use of products,totaluse,
T017,Total industry supply,TotalBasic,
T007,Total Commodity Output,Output,
MCIF,Imports,imports,
MADJ,CIF/FOB Adjustments on Imports,ciffob,
T013,Total product supply (basic prices),BasicSupply,
Trade,Trade margins,Margins,
Trans,Transport margins,TrnCost,
T014,Total trade and transportation margins,TrdTrn,
MDTY,Import duties,Duties,
TOP,Tax on products,Tax,
SUB,Subsidies,Subsidies,
T015,Total tax less subsidies on products,TaxLesSubsidies,
T016,Total product supply (purchaser prices),Supply,
1111A0,Oilseed farming,oil_agr,goods
1111B0,Grain farming,grn_agr,goods
111200,Vegetable and melon farming,veg_agr,goods
111300,Fruit and tree nut farming,nut_agr,goods
111400,"Greenhouse, nursery, and floriculture production",flo_agr,goods
111900,Other crop farming,oth_agr,goods
112120,Dairy cattle and milk production,dry_agr,goods
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",bef_agr,goods
112300,Poultry and egg production,egg_agr,goods
112A00,"Animal production, except cattle and poultry and eggs",ota_agr,goods
113000,Forestry and logging,log_fof,goods
114000,"Fishing, hunting and trapping",fht_fof,goods
115000,Support activities for agriculture and forestry,saf_fof,goods
211000,Oil and gas extraction,oil_oil,goods
212100,Coal mining,col_min,goods
212230,"Copper, nickel, lead, and zinc mining",led_min,goods
2122A0,"Iron, gold, silver, and other metal ore mining",ore_min,goods
212310,Stone mining and quarrying,stn_min,goods
2123A0,Other nonmetallic mineral mining and quarrying,oth_min,goods
213111,Drilling oil and gas wells,drl_smn,goods
21311A,Other support activities for mining,oth_smn,goods
221100,"Electric power generation, transmission, and distribution",ele_uti,goods
221200,Natural gas distribution,gas_uti,goods
221300,"Water, sewage and other systems",wat_uti,goods
233210,Health care structures,hcs_con,goods
233262,Educational and vocational structures,edu_con,goods
230301,Nonresidential maintenance and repair,nmr_con,goods
230302,Residential maintenance and repair,rmr_con,goods
2332A0,Office and commercial structures,off_con,goods
233412,Multifamily residential structures,mrs_con,goods
2334A0,Other residential structures,ors_con,goods
233230,Manufacturing structures,mfs_con,goods
2332D0,Other nonresidential structures,ons_con,goods
233240,Power and communication structures,pwr_con,goods
233411,Single-family residential structures,srs_con,goods
2332C0,Transportation structures and highways and streets,trn_con,goods
321100,Sawmills and wood preservation,saw_wpd,goods
321200,"Veneer, plywood, and engineered wood product manufacturing",ven_wpd,goods
321910,Millwork,mil_wpd,goods
3219A0,All other wood product manufacturing,owp_wpd,goods
327100,Clay product and refractory manufacturing,cly_nmp,goods
327200,Glass and glass product manufacturing,gla_nmp,goods
327310,Cement manufacturing,cmt_nmp,goods
327320,Ready-mix concrete manufacturing,cnc_nmp,goods
327330,"Concrete pipe, brick, and block manufacturing",cpb_nmp,goods
327390,Other concrete product manufacturing,ocp_nmp,goods
327400,Lime and gypsum product manufacturing,lme_nmp,goods
327910,Abrasive product manufacturing,abr_nmp,goods
327991,Cut stone and stone product manufacturing,cut_nmp,goods
327992,Ground or treated mineral and earth manufacturing,tmn_nmp,goods
327993,Mineral wool manufacturing,wol_nmp,goods
327999,Miscellaneous nonmetallic mineral products,mnm_nmp,goods
331110,Iron and steel mills and ferroalloy manufacturing,irn_pmt,goods
331200,Steel product manufacturing from purchased steel,stl_pmt,goods
331313,Alumina refining and primary aluminum production,ala_pmt,goods
326210,Tire manufacturing,tir_pla,goods
33131B,Aluminum product manufacturing from purchased aluminum,alu_pmt,goods
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,nms_pmt,goods
331420,"Copper rolling, drawing, extruding and alloying",cop_pmt,goods
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",nfm_pmt,goods
331510,Ferrous metal foundries,fmf_pmt,goods
331520,Nonferrous metal foundries,nff_pmt,goods
332114,Custom roll forming,rol_fmt,goods
33211A,"All other forging, stamping, and sintering",fss_fmt,goods
332119,"Metal crown, closure, and other metal stamping (except automotive)",crn_fmt,goods
332200,Cutlery and handtool manufacturing,cut_fmt,goods
332310,Plate work and fabricated structural product manufacturing,plt_fmt,goods
332320,Ornamental and architectural metal products manufacturing,orn_fmt,goods
332410,Power boiler and heat exchanger manufacturing,pwr_fmt,goods
332420,Metal tank (heavy gauge) manufacturing,mtt_fmt,goods
332430,"Metal can, box, and other metal container (light gauge) manufacturing",mtc_fmt,goods
332500,Hardware manufacturing,hdw_fmt,goods
332600,Spring and wire product manufacturing,spr_fmt,goods
332710,Machine shops,mch_fmt,goods
332720,"Turned product and screw, nut, and bolt manufacturing",tps_fmt,goods
332800,"Coating, engraving, heat treating and allied activities",ceh_fmt,goods
332913,Plumbing fixture fitting and trim manufacturing,plb_fmt,goods
33291A,Valve and fittings other than plumbing,vlv_fmt,goods
332991,Ball and roller bearing manufacturing,bbr_fmt,goods
332996,Fabricated pipe and pipe fitting manufacturing,fab_fmt,goods
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",amn_fmt,goods
332999,Other fabricated metal manufacturing,omf_fmt,goods
333111,Farm machinery and equipment manufacturing,frm_mch,goods
333112,Lawn and garden equipment manufacturing,lwn_mch,goods
333120,Construction machinery manufacturing,con_mch,goods
333130,Mining and oil and gas field machinery manufacturing,min_mch,goods
333242,Semiconductor machinery manufacturing,smc_mch,goods
33329A,Other industrial machinery manufacturing,oti_mch,goods
333314,Optical instrument and lens manufacturing,opt_mch,goods
333316,Photographic and photocopying equipment manufacturing,pht_mch,goods
333318,Other commercial and service industry machinery manufacturing,oci_mch,goods
333414,Heating equipment (except warm air furnaces) manufacturing,hea_mch,goods
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",acn_mch,goods
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,air_mch,goods
333511,Industrial mold manufacturing,imm_mch,goods
333514,"Special tool, die, jig, and fixture manufacturing",spt_mch,goods
333517,Machine tool manufacturing,mct_mch,goods
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",cut_mch,goods
333611,Turbine and turbine generator set units manufacturing,tbn_mch,goods
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",spd_mch,goods
333613,Mechanical power transmission equipment manufacturing,mch_mch,goods
333618,Other engine equipment manufacturing,oee_mch,goods
333912,Air and gas compressor manufacturing,agc_mch,goods
33391A,Pump and pumping equipment manufacturing,ppe_mch,goods
333920,Material handling equipment manufacturing,mat_mch,goods
333991,Power-driven handtool manufacturing,pwr_mch,goods
333993,Packaging machinery manufacturing,pkg_mch,goods
531HST,Tenant-occupied housing,rnt_hou,goods
333994,Industrial process furnace and oven manufacturing,ipf_mch,goods
33399A,Other general purpose machinery manufacturing,ogp_mch,goods
33399B,Fluid power process machinery,fld_mch,goods
334111,Electronic computer manufacturing,ecm_cep,goods
334112,Computer storage device manufacturing,csd_cep,goods
334118,Computer terminals and other computer peripheral equipment manufacturing,ctm_cep,goods
334210,Telephone apparatus manufacturing,tel_cep,goods
334220,Broadcast and wireless communications equipment,brd_cep,goods
334290,Other communications equipment manufacturing,oce_cep,goods
334413,Semiconductor and related device manufacturing,sem_cep,goods
334418,Printed circuit assembly (electronic assembly) manufacturing,prc_cep,goods
33441A,Other electronic component manufacturing,oec_cep,goods
334510,Electromedical and electrotherapeutic apparatus manufacturing,eea_cep,goods
334511,"Search, detection, and navigation instruments manufacturing",sdn_cep,goods
334512,Automatic environmental control manufacturing,aec_cep,goods
334513,Industrial process variable instruments manufacturing,ipv_cep,goods
334514,Totalizing fluid meter and counting device manufacturing,tfl_cep,goods
334515,Electricity and signal testing instruments manufacturing,els_cep,goods
334516,Analytical laboratory instrument manufacturing,ali_cep,goods
334517,Irradiation apparatus manufacturing,irr_cep,goods
33451A,"Watch, clock, and other measuring and controlling device manufacturing",wcm_cep,goods
334300,Audio and video equipment manufacturing,aud_cep,goods
334610,Manufacturing and reproducing magnetic and optical media,mmo_cep,goods
335110,Electric lamp bulb and part manufacturing,elb_eec,goods
335120,Lighting fixture manufacturing,ltf_eec,goods
335210,Small electrical appliance manufacturing,sea_eec,goods
335221,Household cooking appliance manufacturing,hca_eec,goods
335222,Household refrigerator and home freezer manufacturing,hrf_eec,goods
335224,Household laundry equipment manufacturing,hle_eec,goods
335228,Other major household appliance manufacturing,omh_eec,goods
335311,"Power, distribution, and specialty transformer manufacturing",pwr_eec,goods
335312,Motor and generator manufacturing,mtg_eec,goods
335313,Switchgear and switchboard apparatus manufacturing,swt_eec,goods
335314,Relay and industrial control manufacturing,ric_eec,goods
335911,Storage battery manufacturing,sbt_eec,goods
335912,Primary battery manufacturing,pbt_eec,goods
335920,Communication and energy wire and cable manufacturing,cme_eec,goods
335930,Wiring device manufacturing,wdv_eec,goods
335991,Carbon and graphite product manufacturing,cbn_eec,goods
335999,All other miscellaneous electrical equipment and component manufacturing,oee_eec,goods
336111,Automobile manufacturing,atm_mot,goods
336112,Light truck and utility vehicle manufacturing,ltr_mot,goods
336120,Heavy duty truck manufacturing,htr_mot,goods
336211,Motor vehicle body manufacturing,mbd_mot,goods
336212,Truck trailer manufacturing,trl_mot,goods
336213,Motor home manufacturing,hom_mot,goods
336214,Travel trailer and camper manufacturing,cam_mot,goods
336310,Motor vehicle gasoline engine and engine parts manufacturing,gas_mot,goods
336320,Motor vehicle electrical and electronic equipment manufacturing,eee_mot,goods
336350,Motor vehicle transmission and power train parts manufacturing,tpw_mot,goods
336360,Motor vehicle seating and interior trim manufacturing,trm_mot,goods
336370,Motor vehicle metal stamping,stm_mot,goods
336390,Other Motor Vehicle Parts Manufacturing,omv_mot,goods
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",brk_mot,goods
336411,Aircraft manufacturing,air_ote,goods
336412,Aircraft engine and engine parts manufacturing,aen_ote,goods
