from,full_desc,source,source_desc,sector,sector_desc,units_abbv,units
PARCV,all petroleum products total expenditures in the residential sector,PA,all petroleum products,RC,residential sector,V,million dollars
PASCB,all petroleum products total consumption adjusted for process fuel and intermediate products,PA,all petroleum products,SC,total primary energy and electricity consumed,B,billion btu
PATCB,all petroleum products total consumption,PA,all petroleum products,TC,total consumption,B,billion btu
PATCD,"all petroleum products average price, all sectors",PA,all petroleum products,TC,total consumption,D,dollars per million btu
PATCK,"factor for converting all petroleum products total consumption from physical units to btu, united states only",PA,all petroleum products,TC,total consumption,K,million btu per barrel
PATCP,all petroleum products total consumption,PA,all petroleum products,TC,total consumption,P,thousand barrels
PATCV,all petroleum products total expenditures,PA,all petroleum products,TC,total consumption,V,million dollars
PATXB,all petroleum products total end-use consumption,PA,all petroleum products,TX,all end-use sectors,B,billion btu
PATXD,"all petroleum products average price, all end-use sectors",PA,all petroleum products,TX,all end-use sectors,D,dollars per million btu
PATXP,all petroleum products total end-use consumption,PA,all petroleum products,TX,all end-use sectors,P,thousand barrels
PATXV,all petroleum products total end-use expenditures,PA,all petroleum products,TX,all end-use sectors,V,million dollars
PCCCB,petroleum coke consumed by the commercial sector,PC,petroleum coke,CC,commercial sector,B,billion btu
PCCCD,petroleum coke price in the commercial sector,PC,petroleum coke,CC,commercial sector,D,dollars per million btu
PCCCP,petroleum coke consumed by the commercial sector,PC,petroleum coke,CC,commercial sector,P,thousand barrels
PCCCV,petroleum coke expenditures in the commercial sector,PC,petroleum coke,CC,commercial sector,V,million dollars
PCCTK,"factor converting petroleum coke, catalyst coke physical units to btu, united states only",PC,petroleum coke,CT,"factor converting petroleum coke, catalyst coke physical units to btu",K,million btu per barrel
PCEIB,petroleum coke consumed by the electric power sector,PC,petroleum coke,EI,electric power sector,B,billion btu
PCEID,petroleum coke price in the electric power sector,PC,petroleum coke,EI,electric power sector,D,dollars per million btu
PCEIP,petroleum coke consumed by the electric power sector,PC,petroleum coke,EI,electric power sector,P,thousand barrels
PCEIV,petroleum coke expenditures in the electric power sector,PC,petroleum coke,EI,electric power sector,V,million dollars
PCICB,petroleum coke consumed by the industrial sector,PC,petroleum coke,IC,industrial sector,B,billion btu
PCICD,petroleum coke price in the industrial sector,PC,petroleum coke,IC,industrial sector,D,dollars per million btu
PCICP,petroleum coke consumed by the industrial sector,PC,petroleum coke,IC,industrial sector,P,thousand barrels
PCICV,petroleum coke expenditures in the industrial sector,PC,petroleum coke,IC,industrial sector,V,million dollars
PCISB,petroleum coke consumed by the industrial sector excluding refinery fuel,PC,petroleum coke,IS,industrial sector excluding refinery fuel,B,billion btu
PCMKK,"factor converting petroleum coke, marketable coke physical units to btu, united states only",PC,petroleum coke,MK,marketable coke physical units to btu,K,million btu per barrel
PCRFB,petroleum coke consumed as refinery fuel,PC,petroleum coke,RF,refinery fuel,B,billion btu
PCSCB,petroleum coke total consumption adjusted for process fuel,PC,petroleum coke,SC,total primary energy and electricity consumed,B,billion btu
PCTCB,petroleum coke total consumption,PC,petroleum coke,TC,total consumption,B,billion btu
PCTCD,"petroleum coke average price, all sectors",PC,petroleum coke,TC,total consumption,D,dollars per million btu
PCTCP,petroleum coke total consumption,PC,petroleum coke,TC,total consumption,P,thousand barrels
PCTCV,petroleum coke total expenditures,PC,petroleum coke,TC,total consumption,V,million dollars
PCTXB,petroleum coke total end-use consumption,PC,petroleum coke,TX,all end-use sectors,B,billion btu
PCTXD,"petroleum coke average price, all end-use sectors",PC,petroleum coke,TX,all end-use sectors,D,dollars per million btu
PCTXP,petroleum coke total end-use consumption,PC,petroleum coke,TX,all end-use sectors,P,thousand barrels
PCTXV,petroleum coke total end-use expenditures,PC,petroleum coke,TX,all end-use sectors,V,million dollars
PEACD,primary energy average price in the transportation sector,PE,primary energy,AC,transportation sector,D,dollars per million btu
PEACV,primary energy total expenditures in the transportation sector,PE,primary energy,AC,transportation sector,V,million dollars
PEASB,"primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,AS,transportation sector adjusted for process fuel,B,billion btu
PECCD,primary energy average price in the commercial sector,PE,primary energy,CC,commercial sector,D,dollars per million btu
PECCV,primary energy total expenditures in the commercial sector,PE,primary energy,CC,commercial sector,V,million dollars
PECSB,"primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,CS,commercial sector (at cost),B,billion btu
PEEID,primary energy average price in the electric power sector,PE,primary energy,EI,electric power sector,D,dollars per million btu
PEEIV,primary energy total expenditures in the electric power sector,PE,primary energy,EI,electric power sector,V,million dollars
PEICD,primary energy average price in the industrial sector,PE,primary energy,IC,industrial sector,D,dollars per million btu
PEICV,primary energy total expenditures in the industrial sector,PE,primary energy,IC,industrial sector,V,million dollars
PEISB,"primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,IS,industrial sector excluding refinery fuel,B,billion btu
PERCD,primary energy average price in the residential sector,PE,primary energy,RC,residential sector,D,dollars per million btu
PERCV,primary energy total expenditures in the residential sector,PE,primary energy,RC,residential sector,V,million dollars
PERSB,"primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,RS,residential sector at a cost,B,billion btu
PESCB,"primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,SC,total primary energy and electricity consumed,B,billion btu
PETCD,"primary energy average price, all sectors",PE,primary energy,TC,total consumption,D,dollars per million btu
PETCV,primary energy total expenditures,PE,primary energy,TC,total consumption,V,million dollars
PETXD,"primary energy average price, all end-use sectors",PE,primary energy,TX,all end-use sectors,D,dollars per million btu
PETXV,primary energy total end-use expenditures,PE,primary energy,TX,all end-use sectors,V,million dollars
PLICB,plant condensate consumed by the industrial sector,PL,plant condensate,IC,industrial sector,B,billion btu
PLICP,plant condensate consumed by the industrial sector,PL,plant condensate,IC,industrial sector,P,thousand barrels
PMTCB,all petroleum products total consumption excluding fuel ethanol,PM,all petroleum products,TC,total consumption,B,billion btu
PPICB,natural gasoline (pentanes plus) consumed by the industrial sector,PP,natural gasoline (pentanes plus),IC,industrial sector,B,billion btu
PPICP,natural gasoline (pentanes plus) consumed by the industrial sector,PP,natural gasoline (pentanes plus),IC,industrial sector,P,thousand barrels
PPTCB,natural gasoline (pentanes plus) total consumption,PP,natural gasoline (pentanes plus),TC,total consumption,B,billion btu
PPTCP,natural gasoline (pentanes plus) total consumption,PP,natural gasoline (pentanes plus),TC,total consumption,P,thousand barrels
PQACB,propane consumed by the transportation sector,PQ,propane,AC,transportation sector,B,billion btu
PQACD,propane price in the transportation sector,PQ,propane,AC,transportation sector,D,dollars per million btu
PQACP,propane consumed by the transportation sector,PQ,propane,AC,transportation sector,P,thousand barrels
PQACV,propane expenditures in the transportation sector,PQ,propane,AC,transportation sector,V,million dollars
PQCCB,propane consumed by the commercial sector,PQ,propane,CC,commercial sector,B,billion btu
PQCCD,propane price in the commercial sector,PQ,propane,CC,commercial sector,D,dollars per million btu
PQCCP,propane consumed by the commercial sector,PQ,propane,CC,commercial sector,P,thousand barrels
PQCCV,propane expenditures in the commercial sector,PQ,propane,CC,commercial sector,V,million dollars
PQICB,propane consumed by the industrial sector,PQ,propane,IC,industrial sector,B,billion btu
PQICD,propane price in the industrial sector,PQ,propane,IC,industrial sector,D,dollars per million btu
PQICP,propane consumed by the industrial sector,PQ,propane,IC,industrial sector,P,thousand barrels
PQICV,propane expenditures in the industrial sector,PQ,propane,IC,industrial sector,V,million dollars
PQISB,propane consumed in the industrial sector excluding refinery fuel,PQ,propane,IS,industrial sector excluding refinery fuel,B,billion btu
PQRCB,propane consumed by the residential sector,PQ,propane,RC,residential sector,B,billion btu
PQRCD,propane price in the residential sector,PQ,propane,RC,residential sector,D,dollars per million btu
PQRCP,propane consumed by the residential sector,PQ,propane,RC,residential sector,P,thousand barrels
PQRCV,propane expenditures in the residential sector,PQ,propane,RC,residential sector,V,million dollars
PQRFB,propane consumed as refinery fuel,PQ,propane,RF,refinery fuel,B,billion btu
PQSCB,propane total consumption adjusted for process fuel,PQ,propane,SC,total primary energy and electricity consumed,B,billion btu
PQTCB,propane total consumption,PQ,propane,TC,total consumption,B,billion btu
PQTCD,"propane average price, all sectors",PQ,propane,TC,total consumption,D,dollars per million btu
PQTCP,propane total consumption,PQ,propane,TC,total consumption,P,thousand barrels
PQTCV,propane total expenditures,PQ,propane,TC,total consumption,V,million dollars
PQTXB,propane total end-use consumption,PQ,propane,TX,all end-use sectors,B,billion btu
PQTXD,"propane average price, all end-use sectors",PQ,propane,TX,all end-use sectors,D,dollars per million btu
PQTXP,propane total end-use consumption,PQ,propane,TX,all end-use sectors,P,thousand barrels
PQTXV,propane total end-use expenditures,PQ,propane,TX,all end-use sectors,V,million dollars
PYICB,propylene from refineries consumed by the industrial sector,PY,propylene from refineries,IC,industrial sector,B,billion btu
PYICP,propylene from refineries consumed by the industrial sector,PY,propylene from refineries,IC,industrial sector,P,thousand barrels
PYTCB,propylene from refineries total consumption,PY,propylene from refineries,TC,total consumption,B,billion btu
PYTCP,propylene from refineries total consumption,PY,propylene from refineries,TC,total consumption,P,thousand barrels
REPRB,renewable energy production,RE,renewable energy,PR,production,B,billion btu
RETCB,renewable energy total consumption,RE,renewable energy,TC,total consumption,B,billion btu
RFACB,residual fuel oil consumed by the transportation sector,RF,residual fuel oil,AC,transportation sector,B,billion btu
RFACD,residual fuel oil price in the transportation sector,RF,residual fuel oil,AC,transportation sector,D,dollars per million btu
RFACP,residual fuel oil consumed by the transportation sector,RF,residual fuel oil,AC,transportation sector,P,thousand barrels
RFACV,residual fuel oil expenditures in the transportation sector,RF,residual fuel oil,AC,transportation sector,V,million dollars
RFCCB,residual fuel oil consumed by the commercial sector,RF,residual fuel oil,CC,commercial sector,B,billion btu
RFCCD,residual fuel oil price in the commercial sector,RF,residual fuel oil,CC,commercial sector,D,dollars per million btu
RFCCP,residual fuel oil consumed by the commercial sector,RF,residual fuel oil,CC,commercial sector,P,thousand barrels
RFCCV,residual fuel oil expenditures in the commercial sector,RF,residual fuel oil,CC,commercial sector,V,million dollars
RFEIB,residual fuel oil consumed by the electric power sector,RF,residual fuel oil,EI,electric power sector,B,billion btu
RFEID,residual fuel oil price in the electric power sector,RF,residual fuel oil,EI,electric power sector,D,dollars per million btu
RFEIP,residual fuel oil consumed by the electric power sector,RF,residual fuel oil,EI,electric power sector,P,thousand barrels
RFEIV,residual fuel oil expenditures in the electric power sector,RF,residual fuel oil,EI,electric power sector,V,million dollars
RFICB,residual fuel oil consumed by the industrial sector,RF,residual fuel oil,IC,industrial sector,B,billion btu
RFICD,residual fuel oil price in the industrial sector,RF,residual fuel oil,IC,industrial sector,D,dollars per million btu
RFICP,residual fuel oil consumed by the industrial sector,RF,residual fuel oil,IC,industrial sector,P,thousand barrels
RFICV,residual fuel oil expenditures in the industrial sector,RF,residual fuel oil,IC,industrial sector,V,million dollars
RFISB,residual fuel oil consumed by the industrial sector excluding refinery fuel,RF,residual fuel oil,IS,industrial sector excluding refinery fuel,B,billion btu
RFRFB,residual fuel oil consumed as refinery fuel,RF,residual fuel oil,RF,refinery fuel,B,billion btu
RFSCB,residential fuel oil total consumption excluding process fuel,RF,residual fuel oil,SC,total primary energy and electricity consumed,B,billion btu
RFTCB,residual fuel oil total consumption,RF,residual fuel oil,TC,total consumption,B,billion btu
RFTCD,"residual fuel oil average price, all sectors",RF,residual fuel oil,TC,total consumption,D,dollars per million btu
RFTCP,residual fuel oil total consumption,RF,residual fuel oil,TC,total consumption,P,thousand barrels
RFTCV,residual fuel oil total expenditures,RF,residual fuel oil,TC,total consumption,V,million dollars
RFTXB,residual fuel oil total end-use consumption,RF,residual fuel oil,TX,all end-use sectors,B,billion btu
RFTXD,"residual fuel oil average price, all end-use sectors",RF,residual fuel oil,TX,all end-use sectors,D,dollars per million btu
RFTXP,residual fuel oil total end-use consumption,RF,residual fuel oil,TX,all end-use sectors,P,thousand barrels
RFTXV,residual fuel oil total end-use expenditures,RF,residual fuel oil,TX,all end-use sectors,V,million dollars
ROPRB,"renewable energy production, other than fuel ethanol",RO,renewable energy production,PR,production,B,billion btu
SFCCB,supplemental gaseous fuels consumed by the commercial sector,SF,supplemental gaseous fuels,CC,commercial sector,B,billion btu
SFEIB,supplemental gaseous fuels consumed by the electric power sector,SF,supplemental gaseous fuels,EI,electric power sector,B,billion btu
SFINB,supplemental gaseous fuels consumed by the industrial sector,SF,supplemental gaseous fuels,IN,industrial sector,B,billion btu
SFRCB,supplemental gaseous fuels consumed by the residential sector,SF,supplemental gaseous fuels,RC,residential sector,B,billion btu
SFTCB,supplemental gaseous fuels total consumption,SF,supplemental gaseous fuels,TC,total consumption,B,billion btu
SGICB,still gas consumed by the industrial sector,SG,still gas,IC,industrial sector,B,billion btu
SGICP,still gas consumed by the industrial sector,SG,still gas,IC,industrial sector,P,thousand barrels
SNICB,special naphthas consumed by the industrial sector,SN,special naphthas,IC,industrial sector,B,billion btu
SNICD,special naphthas price in the industrial sector,SN,special naphthas,IC,industrial sector,D,dollars per million btu
SNICP,special naphthas consumed by the industrial sector,SN,special naphthas,IC,industrial sector,P,thousand barrels
SNICV,special naphthas expenditures in the industrial sector,SN,special naphthas,IC,industrial sector,V,million dollars
SOCCB,solar energy consumed by the commercial sector,SO,solar energy,CC,commercial sector,B,billion btu
SOCCP,solar thermal and photovoltaic electricity net generation in the commercial sector,SO,solar energy,CC,commercial sector,P,million kilowatthours
SOEGB,solar energy consumed for electricity generation by the electric power sector,SO,solar energy,EG,electric power sector,B,billion btu
SOEGP,solar thermal and photovoltaic electricity net generation in the electric power sector,SO,solar energy,EG,electric power sector,P,million kilowatthours
SOICB,solar energy consumed by the industrial sector,SO,solar energy,IC,industrial sector,B,billion btu
SOICP,solar thermal and photovoltaic electricity net generation in the industrial sector,SO,solar energy,IC,industrial sector,P,million kilowatthours
SOR7P,solar photovoltaic electricity generation by small-scale applications in the residential sector,SO,solar energy,R7,small-scale applications in the residential sector,P,million kilowatthours
SORCB,solar energy consumed by the residential sector,SO,solar energy,RC,residential sector,B,billion btu
SOTCB,solar energy total consumption,SO,solar energy,TC,total consumption,B,billion btu
SOTGP,solar thermal and photovoltaic electricity total net generation,SO,solar energy,TG,total per dollar of real gross domestic product,P,million kilowatthours
SOTXB,solar energy total end-use consumption,SO,solar energy,TX,all end-use sectors,B,billion btu
TEACB,total energy consumed by the transportation sector,TE,total energy,AC,transportation sector,B,billion btu
TEACD,total energy average price in the transportation sector,TE,total energy,AC,transportation sector,D,dollars per million btu
TEACV,total energy expenditures in the transportation sector,TE,total energy,AC,transportation sector,V,million dollars
TEAPB,total energy consumption per capita in the transportation sector,TE,total energy,AP,transportation sector (per capita),B,million btu
TECCB,total energy consumed by the commercial sector,TE,total energy,CC,commercial sector,B,billion btu
TECCD,total energy average price in the commercial sector,TE,total energy,CC,commercial sector,D,dollars per million btu
TECCV,total energy expenditures in the commercial sector,TE,total energy,CC,commercial sector,V,million dollars
TECPB,total energy consumption per capita in the commercial sector,TE,total energy,CP,commercial sector (per capita),B,million btu
TEEIB,total energy consumed by the electric power sector,TE,total energy,EI,electric power sector,B,billion btu
TEGDS,energy expenditures as percent of current-dollar gdp,TE,total energy,GD,percent of current-dollar gdp,S,percent
TEICB,total energy consumed by the industrial sector,TE,total energy,IC,industrial sector,B,billion btu
TEICD,total energy average price in the industrial sector,TE,total energy,IC,industrial sector,D,dollars per million btu
TEICV,total energy expenditures in the industrial sector,TE,total energy,IC,industrial sector,V,million dollars
TEIPB,total energy consumption per capita in the industrial sector,TE,total energy,IP,industrial sector (per capita),B,million btu
TEPFB,total energy used as process fuel and other consumption that has no direct fuel costs,TE,total energy,PF,process fuel and other consumption that has no direct fuel costs,B,billion btu
TEPRB,total energy production,TE,total energy,PR,production,B,billion btu
TERCB,total energy consumed by the residential sector,TE,total energy,RC,residential sector,B,billion btu
TERCD,total energy average price in the residential sector,TE,total energy,RC,residential sector,D,dollars per million btu
TERCV,total energy total expenditures in the residential sector,TE,total energy,RC,residential sector,V,million dollars
TERFB,total energy used as refinery fuel and intermediate products,TE,total energy,RF,refinery fuel,B,billion btu
TERPB,total energy consumption per capita in the residential sector,TE,total energy,RP,per capita in the residential sector,B,million btu
TETCB,total energy consumption,TE,total energy,TC,total consumption,B,billion btu
TETCD,total energy average price,TE,total energy,TC,total consumption,D,dollars per million btu
TETCV,total energy expenditures,TE,total energy,TC,total consumption,V,million dollars
TETGR,total energy consumed per dollar of real gross domestic product,TE,total energy,TG,total per dollar of real gross domestic product,R,thousand btu per chained (2009) dollar
TETPB,total energy consumption per capita,TE,total energy,TP,total per capita,B,million btu
TETPV,total energy expenditures per capita,TE,total energy,TP,total per capita,V,dollars
TETXB,total end-use energy consumption,TE,total energy,TX,all end-use sectors,B,billion btu
TETXD,total end-use energy average price,TE,total energy,TX,all end-use sectors,D,dollars per million btu
TETXV,total end-use energy expenditures,TE,total energy,TX,all end-use sectors,V,million dollars
TNACB,total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,AC,transportation sector,B,billion btu
TNASB,"total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,AS,transportation sector adjusted for process fuel,B,billion btu
TNCCB,total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,CC,commercial sector,B,billion btu
TNCSB,"total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,CS,commercial sector (at cost),B,billion btu
TNICB,total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,IC,industrial sector,B,billion btu
TNISB,"total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,IS,industrial sector excluding refinery fuel,B,billion btu
TNRCB,total energy consumed by the residential sector excluding the sector's share of electrical system energy losses,TN,total energy excluding the sector's share of electrical system energy losses,RC,residential sector,B,billion btu
TNRSB,"total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",TN,total energy excluding the sector's share of electrical system energy losses,RS,residential sector at a cost,B,billion btu
TNSCB,total primary energy and electricity consumed,TN,total energy excluding the sector's share of electrical system energy losses,SC,total primary energy and electricity consumed,B,billion btu
TNTXB,total primary energy and electricity consumed by the end-use sectors,TN,total energy excluding the sector's share of electrical system energy losses,TX,all end-use sectors,B,billion btu
TPOPP,resident population including armed forces,TP,resident population including armed forces,OP,resident population including armed forces. (thousand),P,thousand
UOICB,unfinished oils consumed by the industrial sector,UO,unfinished oils,IC,industrial sector,B,billion btu
UOICP,unfinished oils consumed by the industrial sector,UO,unfinished oils,IC,industrial sector,P,thousand barrels
USICB,unfractionated streams consumed by the industrial sector,US,unfractionated streams,IC,industrial sector,B,billion btu
USICP,unfractionated streams consumed by the industrial sector,US,unfractionated streams,IC,industrial sector,P,thousand barrels
WDCCB,wood consumed by the commercial sector,WD,wood,CC,commercial sector,B,billion btu
WDEIB,wood consumed by the electric power sector,WD,wood,EI,electric power sector,B,billion btu
WDEXB,densified biomass exports,WD,wood,EX,exported from the united states,B,billion btu
WDICB,wood consumed by the industrial sector,WD,wood,IC,industrial sector,B,billion btu
WDPRB,wood energy production,WD,wood,PR,production,B,billion btu
WDRCB,wood consumed by the residential sector,WD,wood,RC,residential sector,B,billion btu
WDRCD,wood price in the residential sector,WD,wood,RC,residential sector,D,dollars per million btu
WDRCP,wood consumed by the residential sector,WD,wood,RC,residential sector,P,thousand cords
WDRCV,wood expenditures in the residential sector ,WD,wood,RC,residential sector,V,million dollars
WDRSB,wood consumed in the residential sector at a cost,WD,wood,RS,residential sector at a cost,B,billion btu
WDRXB,wood consumed in the residential sector at no cost,WD,wood,RX,residential sector at no cost,B,billion btu
WDTCB,wood total consumption,WD,wood,TC,total consumption,B,billion btu
WSCCB,"waste consumed by the commercial sector, total",WS,waste,CC,commercial sector,B,billion btu
WSEIB,waste consumed by the electric power sector,WS,waste,EI,electric power sector,B,billion btu
WSICB,"waste energy consumed by the industrial sector, total",WS,waste,IC,industrial sector,B,billion btu
WSTCB,waste total consumption,WS,waste,TC,total consumption,B,billion btu
WWCCB,wood and waste consumed in the commercial sector,WW,wood and waste,CC,commercial sector,B,billion btu
WWCCD,wood and waste price in the commercial sector,WW,wood and waste,CC,commercial sector,D,dollars per million btu
WWCCV,wood and waste expenditures in the commercial sector,WW,wood and waste,CC,commercial sector,V,million dollars
WWCSB,wood and waste consumed in the commercial sector at a cost,WW,wood and waste,CS,commercial sector (at cost),B,billion btu
WWCXB,wood and waste consumed in the commercial sector at no cost,WW,wood and waste,CX,commercial sector (no cost),B,billion btu
WWEIB,wood and waste consumed by the electric power sector,WW,wood and waste,EI,electric power sector,B,billion btu
WWEID,wood and waste price in the electric power sector,WW,wood and waste,EI,electric power sector,D,dollars per million btu
WWEIV,wood and waste expenditures in the electric power sector,WW,wood and waste,EI,electric power sector,V,million dollars
WWICB,"wood and waste consumed in the industrial sector, total",WW,wood and waste,IC,industrial sector,B,billion btu
WWICD,wood and waste price in the industrial sector,WW,wood and waste,IC,industrial sector,D,dollars per million btu
WWICV,wood and waste expenditures in the industrial sector,WW,wood and waste,IC,industrial sector,V,million dollars
WWISB,wood and waste consumed in the industrial sector at a cost,WW,wood and waste,IS,industrial sector excluding refinery fuel,B,billion btu
WWIXB,wood and waste consumed in the industrial sector at no cost,WW,wood and waste,IX,industrial sector at no cost,B,billion btu
WWSCB,"wood and waste total consumption, adjusted for fuels with no direct cost",WW,wood and waste,SC,total primary energy and electricity consumed,B,billion btu
WWTCB,wood and waste total consumption,WW,wood and waste,TC,total consumption,B,billion btu
WWTCD,"wood and waste average price, all sectors",WW,wood and waste,TC,total consumption,D,dollars per million btu
WWTCV,wood and waste total expenditures,WW,wood and waste,TC,total consumption,V,million dollars
WWTXB,wood and waste total end-use consumption,WW,wood and waste,TX,all end-use sectors,B,billion btu
WWTXD,"wood and waste average price, all end-use sectors",WW,wood and waste,TX,all end-use sectors,D,dollars per million btu
WWTXV,wood and waste total end-use expenditures,WW,wood and waste,TX,all end-use sectors,V,million dollars
WXICB,waxes consumed by the industrial sector,WX,waxes,IC,industrial sector,B,billion btu
WXICD,waxes price in the industrial sector,WX,waxes,IC,industrial sector,D,dollars per million btu
WXICP,waxes consumed by the industrial sector,WX,waxes,IC,industrial sector,P,thousand barrels
WXICV,waxes expenditures in the industrial sector,WX,waxes,IC,industrial sector,V,million dollars
WYCCB,wind energy consumed by the commercial sector,WY,wind energy,CC,commercial sector,B,billion btu
WYCCP,wind electricity net generation in the commercial sector,WY,wind energy,CC,commercial sector,P,million kilowatthours
WYEGB,wind energy consumed for electricity generation by the electric power sector,WY,wind energy,EG,electric power sector,B,billion btu
WYEGP,wind electricity net generation in the electric power sector,WY,wind energy,EG,electric power sector,P,million kilowatthours
WYICB,wind energy consumed by the industrial sector,WY,wind energy,IC,industrial sector,B,billion btu
WYICP,wind electricity net generation in the industrial sector,WY,wind energy,IC,industrial sector,P,million kilowatthours
WYTCB,wind energy total consumption,WY,wind energy,TC,total consumption,B,billion btu
WYTCP,wind electricity total net generation,WY,wind energy,TC,total consumption,P,million kilowatthours
WYTXB,wind energy total end-use consumption,WY,wind energy,TX,all end-use sectors,B,billion btu
WYTXP,wind energy total end-use net generation,WY,wind energy,TX,all end-use sectors,P,million kilowatthours